step,ancien,nouveau,raison,score_ancien,score_nouveau
45,HoeffdingTree,SGD,bandit,1.0,0.75
46,SGD,HoeffdingTree,bandit,0.7556,1.0
51,HoeffdingTree,KNN_ADWIN,bandit,1.0,1.0
52,KNN_ADWIN,HoeffdingTree,bandit,1.0,1.0
73,HoeffdingTree,SGD,bandit,1.0,0.8333
74,SGD,HoeffdingTree,bandit,0.8356,1.0
108,HoeffdingTree,SGD,bandit,1.0,0.8879
109,SGD,HoeffdingTree,bandit,0.8889,1.0
114,HoeffdingTree,SGD,bandit,1.0,0.8938
115,SGD,HoeffdingTree,bandit,0.8947,1.0
133,HoeffdingTree,SGD,bandit,1.0,0.9091
134,SGD,HoeffdingTree,bandit,0.9098,1.0
141,HoeffdingTree,SGD,bandit,1.0,0.9143
142,SGD,HoeffdingTree,bandit,0.9149,1.0
157,HoeffdingTree,SGD,bandit,1.0,0.9231
158,SGD,HoeffdingTree,bandit,0.9236,1.0
175,HoeffdingTree,SGD,bandit,1.0,0.931
176,SGD,KNN_ADWIN,bandit,0.9314,1.0
177,KNN_ADWIN,HoeffdingTree,bandit,1.0,1.0
180,HoeffdingTree,KNN_ADWIN,bandit,1.0,1.0
181,KNN_ADWIN,HoeffdingTree,bandit,1.0,1.0
194,HoeffdingTree,KNN_ADWIN,bandit,1.0,1.0
195,KNN_ADWIN,HoeffdingTree,bandit,1.0,1.0
202,HoeffdingTree,SGD,bandit,1.0,0.9403
204,SGD,HoeffdingTree,bandit,0.9409,1.0
239,HoeffdingTree,SGD,bandit,1.0,0.916
240,SGD,HoeffdingTree,bandit,0.9121,1.0
247,HoeffdingTree,KNN_ADWIN,bandit,0.9918,0.9959
249,KNN_ADWIN,HoeffdingTree,bandit,0.9919,0.9919
263,HoeffdingTree,KNN_ADWIN,bandit,0.977,0.9502
264,KNN_ADWIN,HoeffdingTree,bandit,0.9466,0.9733
270,HoeffdingTree,KNN_ADWIN,bandit,0.9627,0.9366
271,KNN_ADWIN,HoeffdingTree,bandit,0.9368,0.9628
288,HoeffdingTree,RESET,ADWIN_drift,0.9199,0.0
290,HoeffdingTree,SGD,bandit,0.0,1.0
314,SGD,KNN_ADWIN,bandit,1.0,0.36
315,KNN_ADWIN,SGD,bandit,0.3462,1.0
317,SGD,KNN_ADWIN,bandit,1.0,0.3929
318,KNN_ADWIN,SGD,bandit,0.4138,1.0
321,SGD,HoeffdingTree,bandit,1.0,0.4375
322,HoeffdingTree,SGD,bandit,0.4242,1.0
333,SGD,KNN_ADWIN,bandit,0.9773,0.4091
334,KNN_ADWIN,SGD,bandit,0.4222,0.9778
341,SGD,KNN_ADWIN,bandit,0.9808,0.4615
342,KNN_ADWIN,SGD,bandit,0.4528,0.9811
353,SGD,HoeffdingTree,bandit,0.9844,0.3906
354,HoeffdingTree,SGD,bandit,0.3846,0.9846
375,SGD,KNN_ADWIN,bandit,0.9535,0.5233
376,KNN_ADWIN,SGD,bandit,0.5287,0.954
387,SGD,KNN_ADWIN,bandit,0.9184,0.5306
388,KNN_ADWIN,SGD,bandit,0.5253,0.9192
391,SGD,HoeffdingTree,bandit,0.9216,0.3627
392,HoeffdingTree,SGD,bandit,0.3689,0.9223
394,SGD,KNN_ADWIN,bandit,0.9238,0.5238
395,KNN_ADWIN,SGD,bandit,0.5283,0.9245
398,SGD,KNN_ADWIN,bandit,0.9266,0.5321
399,KNN_ADWIN,SGD,bandit,0.5273,0.9273
402,SGD,HoeffdingTree,bandit,0.9292,0.3805
403,HoeffdingTree,SGD,bandit,0.386,0.9298
423,SGD,KNN_ADWIN,bandit,0.9328,0.5448
424,KNN_ADWIN,SGD,bandit,0.5481,0.9333
425,SGD,HoeffdingTree,bandit,0.9338,0.4779
426,HoeffdingTree,SGD,bandit,0.4818,0.9343
428,SGD,HoeffdingTree,bandit,0.9353,0.4892
430,HoeffdingTree,SGD,bandit,0.4965,0.9362
442,SGD,HoeffdingTree,bandit,0.9412,0.5359
443,HoeffdingTree,SGD,bandit,0.539,0.9416
444,SGD,HoeffdingTree,bandit,0.9419,0.5419
445,HoeffdingTree,KNN_ADWIN,bandit,0.5449,0.5577
446,KNN_ADWIN,SGD,bandit,0.5541,0.9427
468,SGD,HoeffdingTree,bandit,0.933,0.5978
469,HoeffdingTree,SGD,bandit,0.6,0.9333
489,SGD,HoeffdingTree,bandit,0.93,0.64
490,HoeffdingTree,SGD,bandit,0.6418,0.9303
507,SGD,HoeffdingTree,bandit,0.9358,0.6697
508,HoeffdingTree,SGD,bandit,0.6712,0.9361
527,SGD,KNN_ADWIN,bandit,0.9328,0.6429
528,KNN_ADWIN,SGD,bandit,0.6444,0.9331
534,SGD,HoeffdingTree,bandit,0.9347,0.7061
535,HoeffdingTree,SGD,bandit,0.7073,0.935
553,SGD,KNN_ADWIN,bandit,0.9394,0.6705
554,KNN_ADWIN,SGD,bandit,0.6717,0.9396
573,SGD,HoeffdingTree,bandit,0.9437,0.7465
574,HoeffdingTree,SGD,bandit,0.7474,0.9439
619,SGD,HoeffdingTree,bandit,0.9515,0.7818
620,HoeffdingTree,SGD,bandit,0.7825,0.9517
625,SGD,HoeffdingTree,bandit,0.9524,0.7857
626,HoeffdingTree,KNN_ADWIN,bandit,0.7864,0.7122
627,KNN_ADWIN,SGD,bandit,0.713,0.9527
651,SGD,KNN_ADWIN,bandit,0.9558,0.7238
652,KNN_ADWIN,SGD,bandit,0.7245,0.9559
653,SGD,KNN_ADWIN,bandit,0.956,0.7253
654,KNN_ADWIN,SGD,bandit,0.726,0.9562
658,SGD,HoeffdingTree,bandit,0.9566,0.8049
659,HoeffdingTree,SGD,bandit,0.8054,0.9568
681,SGD,HoeffdingTree,bandit,0.9541,0.8163
682,HoeffdingTree,SGD,bandit,0.8168,0.9542
710,SGD,KNN_ADWIN,bandit,0.9572,0.7506
711,KNN_ADWIN,SGD,bandit,0.7512,0.9573
721,SGD,KNN_ADWIN,bandit,0.9583,0.7569
722,KNN_ADWIN,SGD,bandit,0.7575,0.9584
743,SGD,KNN_ADWIN,bandit,0.9604,0.7643
744,KNN_ADWIN,SGD,bandit,0.7648,0.9604
751,SGD,KNN_ADWIN,bandit,0.961,0.7684
752,KNN_ADWIN,SGD,bandit,0.7689,0.9611
761,SGD,KNN_ADWIN,bandit,0.9619,0.7733
762,KNN_ADWIN,SGD,bandit,0.7738,0.9619
763,SGD,HoeffdingTree,bandit,0.962,0.8481
764,HoeffdingTree,SGD,bandit,0.8484,0.9621
770,SGD,HoeffdingTree,bandit,0.9626,0.8503
771,HoeffdingTree,SGD,bandit,0.8506,0.9627
803,SGD,HoeffdingTree,bandit,0.9572,0.8599
804,HoeffdingTree,SGD,bandit,0.8602,0.9573
829,SGD,HoeffdingTree,bandit,0.9593,0.8667
830,HoeffdingTree,SGD,bandit,0.8669,0.9593
835,SGD,HoeffdingTree,bandit,0.9597,0.8681
836,HoeffdingTree,SGD,bandit,0.8684,0.9598
837,SGD,HoeffdingTree,bandit,0.9599,0.8686
838,HoeffdingTree,SGD,bandit,0.8689,0.9599
